nm	n	k
528.833008	1.982449	0.0013
530.412292	1.977705	0.001172
531.991516	1.973128	0.001056
533.570679	1.968709	0.000951
535.14978	1.96444	0.000856
536.72876	1.960312	0.000771
538.307739	1.956318	0.000694
539.886597	1.952452	0.000624
541.465393	1.948707	0.000562
543.044067	1.945077	0.000505
544.622742	1.941557	0.000454
546.201294	1.938141	0.000408
547.779846	1.934826	0.000367
549.358276	1.931605	0.000329
550.936646	1.928476	0.000296
552.514893	1.925435	0.000266
554.09314	1.922476	0.000238
555.671265	1.919598	0.000214
557.249329	1.916796	0.000192
558.827271	1.914068	0.000172
560.405151	1.91141	0.000154
561.983032	1.90882	0.000138
563.560791	1.906295	0.000124
565.138489	1.903833	0.000111
566.716064	1.901431	0.0001
568.293579	1.899086	8.9e-05
569.871033	1.896798	8e-05
571.448425	1.894564	7.2e-05
573.025757	1.892381	6.4e-05
574.602966	1.890248	5.7e-05
576.180054	1.888164	5.1e-05
577.757202	1.886127	4.6e-05
579.334106	1.884134	4.1e-05
580.911011	1.882185	3.7e-05
582.487915	1.880278	3.3e-05
584.064575	1.878412	2.9e-05
585.641296	1.876585	2.6e-05
587.217896	1.874796	2.4e-05
588.794373	1.873044	2.1e-05
590.370789	1.871328	1.9e-05
591.947144	1.869647	1.7e-05
593.523376	1.867999	1.5e-05
595.099548	1.866385	1.3e-05
596.675659	1.864801	1.2e-05
598.251709	1.863249	1.1e-05
599.827637	1.861726	1e-05
601.403442	1.860232	9e-06
602.979248	1.858767	8e-06
604.554932	1.857329	7e-06
606.130493	1.855917	6e-06
607.705994	1.854532	5e-06
609.281433	1.853172	5e-06
610.856812	1.851836	4e-06
612.432007	1.850524	4e-06
614.007202	1.849235	3e-06
615.582336	1.847969	3e-06
617.157349	1.846725	3e-06
618.732239	1.845503	2e-06
620.307007	1.844302	2e-06
621.881775	1.843121	2e-06
623.456421	1.84196	2e-06
625.031006	1.840818	2e-06
626.605469	1.839696	1e-06
628.179871	1.838592	1e-06
629.754211	1.837506	1e-06
631.328369	1.836438	1e-06
632.902466	1.835387	1e-06
634.476563	1.834353	1e-06
636.050476	1.833335	1e-06
637.62439	1.832334	1e-06
639.19812	1.831348	1e-06
640.77179	1.830377	1e-06
642.345337	1.829422	0.0
643.918823	1.828482	0.0
645.492249	1.827556	0.0
647.065552	1.826643	0.0
648.638794	1.825745	0.0
650.211914	1.82486	0.0
651.784912	1.823989	0.0
653.357849	1.82313	0.0
654.930725	1.822285	0.0
656.503479	1.821451	0.0
658.076111	1.82063	0.0
659.648682	1.819821	0.0
661.22113	1.819023	0.0
662.793518	1.818237	0.0
664.365845	1.817462	0.0
665.937988	1.816698	0.0
667.510071	1.815945	0.0
669.082092	1.815202	0.0
670.653931	1.81447	0.0
672.225769	1.813748	0.0
673.797485	1.813036	0.0
675.36908	1.812334	0.0
676.940552	1.811642	0.0
678.512024	1.810959	0.0
