SubPc measured by Andreas at some point
wavelength	n	k
516	1.2869	0.761775
517	1.2927	0.779077
518	1.2994	0.796506
519	1.307	0.813964
520	1.3155	0.831348
521	1.325	0.848545
522	1.3354	0.865441
523	1.3467	0.881919
524	1.359	0.897865
525	1.3721	0.913168
526	1.3859	0.927726
527	1.4004	0.941445
528	1.4155	0.954242
529	1.4311	0.96605
530	1.4469	0.976819
531	1.4629	0.986516
532	1.479	0.995128
533	1.495	1.0027
534	1.5107	1.0092
535	1.526	1.0147
536	1.5407	1.0193
537	1.5548	1.023
538	1.568	1.0261
539	1.5804	1.0286
540	1.5917	1.0308
541	1.602	1.0327
542	1.6113	1.0346
543	1.6194	1.0366
544	1.6264	1.0389
545	1.6325	1.0418
546	1.6376	1.0455
547	1.6418	1.05
548	1.6454	1.0556
549	1.6484	1.0625
550	1.651	1.0707
551	1.6536	1.0803
552	1.6562	1.0915
553	1.6591	1.1042
554	1.6627	1.1185
555	1.6671	1.1342
556	1.6725	1.1514
557	1.6792	1.1699
558	1.6874	1.1895
559	1.6973	1.21
560	1.709	1.2312
561	1.7225	1.253
562	1.738	1.275
563	1.7555	1.297
564	1.7749	1.3188
565	1.7962	1.3402
566	1.8192	1.361
567	1.8438	1.3811
568	1.87	1.4003
569	1.8974	1.4185
570	1.9261	1.4359
571	1.9557	1.4524
572	1.9863	1.468
573	2.0177	1.483
574	2.05	1.4974
575	2.0832	1.5115
576	2.1174	1.5253
577	2.1529	1.5392
578	2.19	1.553
579	2.2291	1.5669
580	2.2707	1.5808
581	2.3154	1.5943
582	2.3636	1.6071
583	2.4158	1.6184
584	2.4725	1.6274
585	2.5337	1.633
586	2.5994	1.6341
587	2.6691	1.6294
588	2.742	1.6178
589	2.817	1.598
590	2.8926	1.5694
591	2.9671	1.5315
592	3.0385	1.4845
593	3.1051	1.4289
594	3.1654	1.3657
595	3.2181	1.2962
596	3.2623	1.2222
597	3.2976	1.1452
598	3.3241	1.0669
599	3.342	0.988615
600	3.3521	0.911729
601	3.3549	0.837186
602	3.3515	0.765727
603	3.3426	0.69787
604	3.3292	0.633934
605	3.3119	0.574084
606	3.2916	0.518359
607	3.2688	0.466705
608	3.2441	0.419007
609	3.2179	0.375102
610	3.1908	0.334804
611	3.1629	0.297908
612	3.1346	0.264208
613	3.1062	0.233494
614	3.0777	0.205565
615	3.0495	0.180224
616	3.0215	0.157287
617	2.994	0.136576
618	2.967	0.117927
619	2.9406	0.101183
620	2.9149	0.0862
621	2.8898	0.072839
622	2.8655	0.060973
623	2.842	0.05048
624	2.8192	0.041249
625	2.7973	0.033171
626	2.7761	0.026147
627	2.7558	0.020079
628	2.7363	0.014878
629	2.7177	0.010457
630	2.6998	0.006735
631	2.6828	0.003634
632	2.6665	0.0
633	2.6511	0.0
634	2.6363	0.0
635	2.6224	0.0
636	2.6091	0.0
637	2.5965	0.0
638	2.5846	0.0
639	2.5733	0.0
640	2.5626	0.0
641	2.5524	0.0
642	2.5428	0.0
643	2.5336	0.0
644	2.5249	0.0
645	2.5165	0.0
646	2.5086	0.0
647	2.501	0.0
648	2.4937	0.0
649	2.4866	0.0
650	2.4798	0.0
651	2.4732	0.0
652	2.4668	0.0
653	2.4606	0.0
654	2.4546	0.0
655	2.4486	0.0
656	2.4428	0.0
657	2.4371	0.0
658	2.4315	0.0
659	2.426	0.0
660	2.4205	0.0
661	2.4151	0.0
662	2.4098	0.0
663	2.4046	0.0
664	2.3994	0.0
665	2.3942	0.0
666	2.3892	0.0
667	2.3841	0.0
668	2.3792	0.0
669	2.3742	0.0
670	2.3694	0.0
671	2.3646	0.0
672	2.3598	0.0
673	2.3551	0.0
674	2.3505	0.0
675	2.3459	0.0
676	2.3414	0.0
677	2.3369	0.0
678	2.3325	0.0
679	2.3282	0.0
680	2.3239	0.0
681	2.3197	0.0
682	2.3155	0.0
683	2.3114	0.0
684	2.3073	0.0
685	2.3034	0.0
686	2.2994	0.0
687	2.2956	0.0
688	2.2918	0.0
689	2.288	0.0
690	2.2843	0.0
691	2.2807	0.0
692	2.2771	0.0
693	2.2736	0.0
694	2.2702	0.0
695	2.2668	0.0
696	2.2635	0.0
697	2.2602	0.0
698	2.2569	0.0
699	2.2538	0.0
700	2.2506	0.0
701	2.2476	0.0
702	2.2446	0.0
703	2.2416	0.0
704	2.2387	0.0
705	2.2358	0.0
706	2.233	0.0
707	2.2302	0.0
708	2.2275	0.0
709	2.2248	0.0
710	2.2221	0.0
711	2.2195	0.0
712	2.217	0.0
713	2.2145	0.0
714	2.212	0.0
715	2.2096	0.0
716	2.2072	0.0
717	2.2049	0.0
718	2.2025	0.0
719	2.2003	0.0
720	2.198	0.0
721	2.1958	0.0
722	2.1937	0.0
723	2.1915	0.0
724	2.1894	0.0
725	2.1874	0.0
726	2.1853	0.0
727	2.1833	0.0
728	2.1814	0.0
729	2.1794	0.0
730	2.1775	0.0
731	2.1757	0.0
732	2.1738	0.0
733	2.172	0.0
734	2.1702	0.0
735	2.1684	0.0
736	2.1667	0.0
737	2.165	0.0
738	2.1633	0.0
739	2.1616	0.0
740	2.16	0.0
741	2.1584	0.0
742	2.1568	0.0
743	2.1552	0.0
744	2.1537	0.0
745	2.1521	0.0
746	2.1506	0.0
747	2.1492	0.0
748	2.1477	0.0
749	2.1463	0.0
750	2.1448	0.0
751	2.1434	0.0
752	2.1421	0.0
753	2.1407	0.0
754	2.1394	0.0
755	2.138	0.0
756	2.1367	0.0
757	2.1354	0.0
758	2.1342	0.0
759	2.1329	0.0
760	2.1317	0.0
761	2.1305	0.0
762	2.1293	0.0
763	2.1281	0.0
764	2.1269	0.0
765	2.1257	0.0
766	2.1246	0.0
767	2.1235	0.0
768	2.1223	0.0
769	2.1212	0.0
770	2.1202	0.0
771	2.1191	0.0
772	2.118	0.0
773	2.117	0.0
774	2.1159	0.0
775	2.1149	0.0
776	2.1139	0.0
777	2.1129	0.0
778	2.1119	0.0
779	2.1109	0.0
780	2.11	0.0
781	2.109	0.0
782	2.1081	0.0
783	2.1072	0.0
784	2.1062	0.0
785	2.1053	0.0
786	2.1044	0.0
787	2.1035	0.0
788	2.1027	0.0
789	2.1018	0.0
790	2.1009	0.0
791	2.1001	0.0
792	2.0993	0.0
793	2.0984	0.0
794	2.0976	0.0
795	2.0968	0.0
796	2.096	0.0
797	2.0952	0.0
798	2.0944	0.0
799	2.0936	0.0
800	2.0929	0.0
801	2.0921	0.0
802	2.0914	0.0
803	2.0906	0.0
804	2.0899	0.0
805	2.0891	0.0
806	2.0884	0.0
807	2.0877	0.0
808	2.087	0.0
809	2.0863	0.0
810	2.0856	0.0
811	2.0849	0.0
812	2.0843	0.0
813	2.0836	0.0
814	2.0829	0.0
815	2.0823	0.0
816	2.0816	0.0
817	2.081	0.0
818	2.0803	0.0
819	2.0797	0.0
820	2.0791	0.0
821	2.0784	0.0
822	2.0778	0.0
823	2.0772	0.0
824	2.0766	0.0
825	2.076	0.0
826	2.0754	0.0
827	2.0748	0.0
828	2.0743	0.0
