Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
580.524048	1.381919	0.000219
582.112305	1.381885	0.000216
583.700562	1.381851	0.000213
585.288757	1.381818	0.000211
586.876953	1.381785	0.000208
588.465149	1.381752	0.000205
590.053345	1.381720	0.000203
591.641479	1.381688	0.000200
593.229614	1.381656	0.000198
594.817749	1.381624	0.000195
596.405823	1.381593	0.000193
597.993958	1.381562	0.000190
599.581970	1.381531	0.000188
601.170044	1.381500	0.000186
602.758057	1.381470	0.000183
604.346069	1.381440	0.000181
605.934082	1.381410	0.000179
607.522095	1.381380	0.000177
609.109985	1.381351	0.000174
610.697937	1.381321	0.000172
612.285828	1.381292	0.000170
613.873718	1.381264	0.000168
615.461609	1.381235	0.000166
617.049438	1.381207	0.000164
618.637268	1.381179	0.000162
620.225037	1.381151	0.000160
621.812866	1.381124	0.000158
623.400574	1.381096	0.000156
624.988342	1.381069	0.000154
626.576050	1.381042	0.000152
628.163696	1.381015	0.000151
629.751343	1.380989	0.000149
631.338989	1.380962	0.000147
632.926575	1.380936	0.000145
634.514099	1.380910	0.000144
636.101685	1.380885	0.000142
637.689148	1.380859	0.000140
639.276672	1.380834	0.000139
640.864136	1.380809	0.000137
642.451538	1.380784	0.000135
644.038940	1.380759	0.000134
645.626343	1.380734	0.000132
647.213623	1.380710	0.000131
648.800903	1.380686	0.000129
650.388184	1.380662	0.000128
651.975464	1.380638	0.000126
653.562622	1.380614	0.000125
655.149780	1.380591	0.000123
656.736938	1.380568	0.000122
658.324097	1.380545	0.000121
659.911133	1.380522	0.000119
661.498169	1.380499	0.000118
663.085205	1.380476	0.000117
664.672180	1.380454	0.000115
666.259094	1.380432	0.000114
667.846008	1.380409	0.000113
669.432861	1.380387	0.000111
671.019653	1.380366	0.000110
672.606445	1.380344	0.000109
674.193237	1.380323	0.000108
675.779907	1.380301	0.000107
677.366577	1.380280	0.000105
678.953247	1.380259	0.000104
680.539856	1.380238	0.000103
682.126343	1.380218	0.000102
683.712891	1.380197	0.000101
685.299377	1.380177	0.000100
686.885803	1.380156	0.000099
688.472168	1.380136	0.000098
690.058533	1.380116	0.000097
691.644836	1.380097	0.000096
693.231079	1.380077	0.000094
694.817322	1.380057	0.000093
696.403442	1.380038	0.000092
697.989624	1.380019	0.000091
699.575684	1.380000	0.000091
701.161743	1.379981	0.000090
702.747742	1.379962	0.000089
704.333679	1.379943	0.000088
705.919556	1.379924	0.000087
707.505493	1.379906	0.000086
709.091248	1.379888	0.000085
710.677002	1.379869	0.000084
712.262756	1.379851	0.000083
713.848389	1.379833	0.000082
715.434021	1.379815	0.000081
717.019592	1.379798	0.000081
718.605103	1.379780	0.000080
720.190552	1.379763	0.000079
721.776001	1.379745	0.000078
723.361389	1.379728	0.000077
724.946655	1.379711	0.000077
726.531921	1.379694	0.000076
728.117126	1.379677	0.000075
729.702271	1.379660	0.000074
731.287415	1.379644	0.000074
732.872437	1.379627	0.000073
734.457458	1.379611	0.000072
736.042419	1.379594	0.000071
737.627319	1.379578	0.000071
739.212158	1.379562	0.000070
740.796936	1.379546	0.000069
742.381653	1.379530	0.000069
743.966309	1.379514	0.000068
745.550903	1.379499	0.000067
747.135498	1.379483	0.000067
748.719971	1.379468	0.000066
750.304443	1.379452	0.000065
751.888794	1.379437	0.000065
753.473145	1.379422	0.000064
755.057373	1.379407	0.000063
756.641602	1.379392	0.000063
758.225708	1.379377	0.000062
759.809814	1.379362	0.000062
761.393860	1.379348	0.000061
762.977783	1.379333	0.000060
764.561646	1.379318	0.000060
766.145508	1.379304	0.000059
767.729309	1.379290	0.000059
769.313049	1.379276	0.000058
770.896667	1.379261	0.000058
772.480225	1.379247	0.000057
774.063782	1.379233	0.000057
775.647217	1.379220	0.000056
777.230591	1.379206	0.000056
778.813904	1.379192	0.000055
780.397156	1.379179	0.000055
781.980347	1.379165	0.000054
783.563538	1.379152	0.000054
785.146606	1.379138	0.000053
786.729553	1.379125	0.000053
788.312500	1.379112	0.000052
789.895325	1.379099	0.000052
791.478149	1.379086	0.000051
793.060852	1.379073	0.000051
794.643433	1.379060	0.000050
796.226074	1.379047	0.000050
797.808533	1.379035	0.000049
799.390991	1.379022	0.000049
800.973328	1.379010	0.000048
802.555664	1.378997	0.000048
804.137817	1.378985	0.000048
805.720032	1.378973	0.000047
807.302124	1.378960	0.000047
808.884094	1.378948	0.000046
810.466003	1.378936	0.000046
812.047852	1.378924	0.000046
813.629639	1.378912	0.000045
815.211304	1.378900	0.000045
816.792969	1.378888	0.000044
818.374512	1.378877	0.000044
819.955933	1.378865	0.000044
821.537415	1.378854	0.000043
823.118774	1.378842	0.000043
824.700012	1.378831	0.000042
826.281128	1.378819	0.000042
827.862183	1.378808	0.000042
829.443237	1.378797	0.000041
831.024109	1.378786	0.000041
832.604980	1.378775	0.000041
834.185730	1.378764	0.000040
835.766418	1.378753	0.000040
837.347046	1.378742	0.000040
838.927612	1.378731	0.000039
840.507996	1.378720	0.000039
842.088379	1.378709	0.000039
843.668640	1.378699	0.000038
845.248840	1.378688	0.000038
846.828979	1.378678	0.000038
848.408997	1.378667	0.000037
849.988953	1.378657	0.000037
851.568848	1.378646	0.000037
853.148621	1.378636	0.000037
854.728333	1.378626	0.000036
856.307922	1.378616	0.000036
857.887390	1.378606	0.000036
859.466797	1.378596	0.000035
861.046204	1.378586	0.000035
862.625488	1.378576	0.000035
864.204590	1.378566	0.000034
865.783691	1.378556	0.000034
867.362671	1.378546	0.000034
868.941589	1.378537	0.000034
870.520386	1.378527	0.000033
872.099121	1.378517	0.000033
873.677734	1.378508	0.000033
875.256226	1.378498	0.000033
876.834778	1.378489	0.000032
878.413086	1.378479	0.000032
879.991394	1.378470	0.000032
881.569519	1.378461	0.000032
883.147644	1.378452	0.000031
884.725586	1.378443	0.000031
886.303528	1.378433	0.000031
887.881348	1.378424	0.000031
889.458984	1.378415	0.000030
891.036621	1.378406	0.000030
892.614136	1.378397	0.000030
894.191589	1.378389	0.000030
895.768860	1.378380	0.000029
897.346069	1.378371	0.000029
898.923218	1.378362	0.000029
900.500305	1.378353	0.000029
902.077271	1.378345	0.000029
903.653992	1.378336	0.000028
905.230774	1.378328	0.000028
906.807434	1.378319	0.000028
908.383972	1.378311	0.000028
909.960327	1.378302	0.000028
911.536743	1.378294	0.000027
913.112976	1.378286	0.000027
914.689087	1.378278	0.000027
916.265137	1.378269	0.000027
917.841003	1.378261	0.000027
919.416870	1.378253	0.000026
920.992554	1.378245	0.000026
922.568237	1.378237	0.000026
924.143738	1.378229	0.000026
925.719116	1.378221	0.000026
927.294556	1.378213	0.000025
928.869751	1.378205	0.000025
930.444824	1.378197	0.000025
932.019836	1.378190	0.000025
933.594604	1.378182	0.000025
935.169434	1.378174	0.000025
936.744141	1.378166	0.000024
938.318726	1.378159	0.000024
939.893188	1.378151	0.000024
941.467468	1.378144	0.000024
943.041809	1.378136	0.000024
944.615906	1.378129	0.000024
946.189941	1.378121	0.000023
947.763855	1.378114	0.000023
949.337585	1.378106	0.000023
950.911316	1.378099	0.000023
952.484985	1.378092	0.000023
954.058411	1.378085	0.000023
955.631714	1.378077	0.000022
957.204956	1.378070	0.000022
958.778137	1.378063	0.000022
960.351196	1.378056	0.000022
961.924011	1.378049	0.000022
963.496887	1.378042	0.000022
965.069519	1.378035	0.000021
966.642090	1.378028	0.000021
968.214539	1.378021	0.000021
969.786926	1.378014	0.000021
971.359070	1.378007	0.000021
972.931274	1.378001	0.000021
974.503235	1.377994	0.000021
976.075073	1.377987	0.000021
977.646790	1.377980	0.000020
979.218445	1.377974	0.000020
980.789917	1.377967	0.000020
982.361328	1.377960	0.000020
983.932617	1.377954	0.000020
985.503784	1.377947	0.000020
987.074829	1.377941	0.000020
988.645691	1.377934	0.000019
990.216492	1.377928	0.000019
991.787231	1.377921	0.000019
993.357727	1.377915	0.000019
994.928223	1.377909	0.000019
996.498413	1.377903	0.000019
998.068665	1.377896	0.000019
999.638794	1.377890	0.000019
1012.848328	1.377838	0.000018
