Opt. Const. of InPcCl vs. nm,,
nm	n	k
655.14978	1.465238	1.175135
656.736938	1.483428	1.184374
658.324097	1.501302	1.192595
659.911133	1.518737	1.199935
661.498169	1.535681	1.206521
663.085205	1.552102	1.212456
664.67218	1.567975	1.217831
666.259094	1.583282	1.222728
667.846008	1.598004	1.227223
669.432861	1.61212	1.231388
671.019653	1.6256	1.235299
672.606445	1.638399	1.239051
674.193237	1.650505	1.242798
675.779907	1.66196	1.246676
677.366577	1.672829	1.250799
678.953247	1.683187	1.255264
680.539856	1.69312	1.260156
682.126343	1.702721	1.265546
683.712891	1.71209	1.271493
685.299377	1.721338	1.278044
686.885803	1.730588	1.285228
688.472168	1.739965	1.29304
690.058533	1.749568	1.301453
691.644836	1.759483	1.310445
693.231079	1.769794	1.319992
694.817322	1.780584	1.330068
696.403442	1.791934	1.340642
697.989624	1.803931	1.351679
699.575684	1.816661	1.363138
701.161743	1.83022	1.374969
702.747742	1.844717	1.387102
704.333679	1.860251	1.39941
705.919556	1.876861	1.411763
707.505493	1.894568	1.424047
709.091248	1.913385	1.436162
710.677002	1.933323	1.448014
712.262756	1.954392	1.459514
713.848389	1.976608	1.470578
715.434021	1.999997	1.48112
717.019592	2.024602	1.491048
718.605103	2.050506	1.500245
720.190552	2.077809	1.508457
721.776001	2.106436	1.515369
723.361389	2.136231	1.520742
724.946655	2.167002	1.524385
726.531921	2.198546	1.52615
728.117126	2.230642	1.525917
729.702271	2.263058	1.523595
731.287415	2.295551	1.519117
732.872437	2.327854	1.512438
734.457458	2.359674	1.503543
736.042419	2.39064	1.492476
737.627319	2.420396	1.479498
739.212158	2.448799	1.464911
740.796936	2.475776	1.448955
742.381653	2.50129	1.431832
743.966309	2.525316	1.413715
745.550903	2.547843	1.394758
747.135498	2.568866	1.375101
748.719971	2.588379	1.354869
750.304443	2.606381	1.334179
751.888794	2.622861	1.313145
753.473145	2.637797	1.291875
755.057373	2.651147	1.270523
756.641602	2.662927	1.249276
758.225708	2.673186	1.228305
759.809814	2.681996	1.207767
761.39386	2.689443	1.187808
762.977783	2.695626	1.168562
764.561646	2.700659	1.150159
766.145508	2.704673	1.13272
767.729309	2.707817	1.116356
769.313049	2.710266	1.10117
770.896667	2.712229	1.087252
772.480225	2.713981	1.074662
774.063782	2.715858	1.063307
775.647217	2.71805	1.052982
777.230591	2.720664	1.043509
778.813904	2.723768	1.034731
780.397156	2.727406	1.0265
781.980347	2.731599	1.018685
783.563538	2.736355	1.01116
785.146606	2.741665	1.00381
786.729553	2.747506	0.996527
788.3125	2.753845	0.989214
789.895325	2.760632	0.981779
791.478149	2.7678	0.97414
793.060852	2.775249	0.966245
794.643433	2.782892	0.958104
796.226074	2.790686	0.949732
797.808533	2.798601	0.941145
799.390991	2.80662	0.932347
800.973328	2.814727	0.923347
802.555664	2.822912	0.914148
804.137817	2.831171	0.904753
805.720032	2.839502	0.895165
807.302124	2.847906	0.885385
808.884094	2.856391	0.875411
810.466003	2.864972	0.865242
812.047852	2.873671	0.854871
813.629639	2.882537	0.844281
815.211304	2.891612	0.8334
816.792969	2.900896	0.822143
818.374512	2.910367	0.810436
819.955933	2.919991	0.79821
821.537415	2.929725	0.785402
823.118774	2.939516	0.771954
824.700012	2.949305	0.757809
826.281128	2.959023	0.742917
827.862183	2.968593	0.727229
829.443237	2.977926	0.7107
831.024109	2.986918	0.693291
832.60498	2.99545	0.674961
834.18573	3.003365	0.655679
835.766418	3.010435	0.635455
837.347046	3.016453	0.614448
838.927612	3.021318	0.592839
840.507996	3.024973	0.570789
842.088379	3.027388	0.548445
843.66864	3.028549	0.525949
845.24884	3.028457	0.503433
846.828979	3.027124	0.481023
848.408997	3.024575	0.458846
849.988953	3.020844	0.437017
851.568848	3.01598	0.415655
853.148621	3.010041	0.394874
854.728333	3.003103	0.374787
856.307922	2.995265	0.355508
857.88739	2.986661	0.337143
859.466797	2.977497	0.31974
861.046204	2.967923	0.303245
862.625488	2.958039	0.287608
864.20459	2.947922	0.27278
865.783691	2.93763	0.258715
867.362671	2.927214	0.245373
868.941589	2.916718	0.232713
870.520386	2.906178	0.220696
872.099121	2.895625	0.209286
873.677734	2.885084	0.198448
875.256226	2.874576	0.188144
876.834778	2.86412	0.178343
878.413086	2.853728	0.169011
879.991394	2.843408	0.160114
881.569519	2.833164	0.151622
883.147644	2.822987	0.143503
884.725586	2.812865	0.135748
886.303528	2.802794	0.128349
887.881348	2.792775	0.121302
889.458984	2.782814	0.114602
891.036621	2.772912	0.108243
892.614136	2.763075	0.10222
894.191589	2.753311	0.096528
895.76886	2.743625	0.091161
897.346069	2.734024	0.086115
898.923218	2.724516	0.081384
900.500305	2.715109	0.076964
902.077271	2.70581	0.072849
903.653992	2.69663	0.069035
905.230774	2.687578	0.065517
906.807434	2.678666	0.062289
908.383972	2.669908	0.059348
909.960327	2.661323	0.056682
911.536743	2.652925	0.054273
913.112976	2.644725	0.052104
914.689087	2.63673	0.050156
916.265137	2.628946	0.048411
917.841003	2.621377	0.046852
919.41687	2.614025	0.045461
920.992554	2.606892	0.04422
922.568237	2.599978	0.043111
924.143738	2.593281	0.042119
925.719116	2.586801	0.041225
927.294556	2.580531	0.040412
928.869751	2.574467	0.039664
930.444824	2.568603	0.038965
932.019836	2.56293	0.038297
933.594604	2.557436	0.037645
935.169434	2.552106	0.036992
936.744141	2.546918	0.036327
938.318726	2.541848	0.035649
939.893188	2.536881	0.034963
941.467468	2.532007	0.034275
943.041809	2.527215	0.033588
944.615906	2.522498	0.032907
946.189941	2.517851	0.032236
947.763855	2.513269	0.03158
949.337585	2.508747	0.030942
950.911316	2.504282	0.030327
952.484985	2.499871	0.029738
954.058411	2.495514	0.029181
955.631714	2.49121	0.028658
957.204956	2.486957	0.028173
958.778137	2.482756	0.027731
960.351196	2.478609	0.027335
961.924011	2.474518	0.026988
963.496887	2.470487	0.026694
965.069519	2.466521	0.026457
966.64209	2.462631	0.026276
968.214539	2.458822	0.026145
969.786926	2.455099	0.026059
971.35907	2.451463	0.026012
972.931274	2.447917	0.025999
974.503235	2.444461	0.026014
976.075073	2.441095	0.026051
977.64679	2.43782	0.026107
979.218445	2.434633	0.026174
980.789917	2.431535	0.026248
982.361328	2.428523	0.026325
983.932617	2.425595	0.026398
985.503784	2.422749	0.026464
987.074829	2.419982	0.026517
988.645691	2.41729	0.026552
990.216492	2.41467	0.026565
991.787231	2.412116	0.026551
993.357727	2.409624	0.026506
994.928223	2.407186	0.026425
996.498413	2.404794	0.026305
998.068665	2.402436	0.026146
999.638794	2.400105	0.025952
1012.848328	2.380984	0.023481
1016.217773	2.376154	0.022769
1019.587708	2.371326	0.022093
1022.958313	2.366509	0.021484
1026.329468	2.361714	0.020973
1029.701294	2.356971	0.020591
1033.073608	2.352326	0.020347
1036.446533	2.347814	0.020222
1039.82019	2.343453	0.020194
1043.194336	2.339254	0.020242
1046.569092	2.335221	0.020347
1049.944458	2.331356	0.020488
1053.320435	2.327657	0.020646
1056.697021	2.324119	0.020804
1060.074097	2.320733	0.020943
1063.451904	2.317486	0.021047
1066.8302	2.314356	0.0211
1070.209106	2.311318	0.021105
1073.588623	2.308358	0.021066
1076.96875	2.305465	0.02099
1080.349487	2.30263	0.020882
1083.730835	2.299847	0.020749
1087.112793	2.297112	0.020595
1090.495239	2.294419	0.020427
1093.878418	2.291767	0.020248
1097.262085	2.289153	0.020064
1100.646362	2.286577	0.01988
1104.03125	2.284039	0.019699
1107.416748	2.281541	0.019525
1110.802856	2.279085	0.019359
1114.189575	2.27667	0.0192
1117.576904	2.274297	0.019049
1120.964722	2.271966	0.018907
1124.353271	2.269677	0.018776
1127.74231	2.267431	0.018655
1131.131958	2.265227	0.018545
1134.522217	2.263066	0.018446
1137.913086	2.26095	0.01836
1141.304565	2.258878	0.018286
1144.696533	2.256855	0.018226
1148.089233	2.254882	0.018177
1151.482544	2.252962	0.018136
1154.876343	2.251095	0.0181
1158.270752	2.24928	0.018067
1161.665771	2.247517	0.018033
1165.061523	2.245806	0.017996
1168.457764	2.244144	0.017952
1171.854492	2.242531	0.0179
1175.251953	2.240964	0.017836
1178.650024	2.239441	0.017759
1182.048584	2.237959	0.017666
1185.447876	2.236514	0.017554
1188.847656	2.235102	0.017423
1192.248047	2.233717	0.017272
1195.649048	2.232354	0.017105
1199.050537	2.231011	0.016924
1202.452881	2.229686	0.016731
1205.855591	2.228378	0.01653
1209.259033	2.227086	0.016322
1212.662964	2.225808	0.01611
1216.067627	2.224546	0.015896
1219.472778	2.223298	0.015683
1222.87854	2.222065	0.015471
1226.284912	2.220849	0.015263
1229.691772	2.219649	0.015062
1233.099365	2.218469	0.014869
1236.507568	2.217311	0.014685
1239.91626	2.216179	0.01451
1243.325562	2.215076	0.01434
1246.735596	2.214002	0.014174
1250.146118	2.212958	0.014008
1253.557251	2.211944	0.013842
1256.968994	2.210959	0.013673
1260.381226	2.210003	0.013499
1263.794189	2.209076	0.013317
1267.207764	2.208174	0.013126
1270.621826	2.207298	0.012924
1274.036499	2.206445	0.012709
1277.451904	2.205611	0.012479
1280.867676	2.204796	0.012233
1284.28418	2.203994	0.01197
1287.701294	2.2032	0.011687
1291.119019	2.202406	0.011388
1294.537354	2.201609	0.011078
1297.956177	2.200806	0.010763
1301.37561	2.199996	0.010447
1304.795654	2.199178	0.010135
1308.216431	2.198354	0.009831
1311.637573	2.197523	0.009539
1315.059448	2.196687	0.009264
1318.481934	2.195848	0.009011
1321.905029	2.195007	0.008782
1325.328613	2.194169	0.008582
1328.752808	2.193336	0.008415
1332.177734	2.192512	0.008285
1335.603149	2.191704	0.008194
1339.029175	2.190916	0.008147
1342.455811	2.19016	0.008146
1345.883057	2.189446	0.008189
1349.310791	2.188783	0.008269
1352.739258	2.188177	0.00838
1356.168213	2.187632	0.008513
1359.5979	2.187148	0.008662
1363.028076	2.186729	0.008821
1366.45874	2.186374	0.008984
1369.890259	2.186084	0.009143
1373.322144	2.185858	0.009293
1376.754761	2.185694	0.009428
1380.187866	2.18559	0.009542
1383.621704	2.185544	0.00963
1387.05603	2.185553	0.009686
1390.490967	2.185612	0.009706
1393.926514	2.185717	0.009684
1397.362671	2.185862	0.009615
1400.799438	2.18604	0.009494
1404.236816	2.18624	0.009319
1407.674683	2.18645	0.009092
1411.113281	2.186662	0.008818
1414.552368	2.186871	0.008503
1417.992065	2.187073	0.008154
1421.432373	2.187265	0.007774
1424.873291	2.187446	0.00737
1428.314819	2.187613	0.006946
1431.756958	2.187766	0.006507
1435.199585	2.187905	0.006059
1438.642944	2.18803	0.005604
1442.086792	2.188141	0.005149
1445.531372	2.18824	0.004698
1448.976318	2.188327	0.004253
1452.422119	2.188406	0.003821
1455.868408	2.188477	0.003405
1459.315186	2.188545	0.003008
1462.762695	2.188612	0.002634
1466.210693	2.188683	0.002288
1469.659424	2.188764	0.001973
1473.108643	2.188861	0.001689
1476.55835	2.188982	0.001435
1480.008911	2.189129	0.001208
1483.459839	2.189308	0.001008
1486.911499	2.18952	0.000832
1490.36377	2.189768	0.000678
1493.81665	2.190056	0.000545
1497.27002	2.190385	0.000431
1500.723999	2.190757	0.000335
1504.178589	2.191175	0.000254
1507.633789	2.19164	0.000188
1511.0896	2.192155	0.000135
1514.546021	2.192721	9.3e-05
1518.00293	2.193341	6.1e-05
1521.460571	2.194016	3.7e-05
1524.918701	2.194748	2.1e-05
1528.377441	2.19554	1e-05
1531.836792	2.196394	4e-06
1535.296753	2.197314	1e-06
1538.757324	2.198302	0.0
1542.218506	2.199362	-0.0
1545.680176	2.200503	-3e-06
1549.142456	2.201729	-1.6e-05
1552.605469	2.203043	-4.6e-05
1556.06897	2.204446	-0.0001
1559.533081	2.205939	-0.000186
1562.997803	2.207521	-0.00031
1566.463135	2.209192	-0.000478
1569.928955	2.21095	-0.000697
1573.395508	2.212795	-0.000974
1576.862549	2.214724	-0.001313
1580.330322	2.216734	-0.001721
1583.798584	2.218823	-0.002203
1587.267456	2.220987	-0.002765
1590.736938	2.223223	-0.003412
1594.207031	2.225528	-0.004148
1597.677612	2.227897	-0.004979
1601.148926	2.230326	-0.005908
1604.62085	2.23281	-0.006941
1608.09314	2.235343	-0.008083
1611.566162	2.23792	-0.009336
1615.039795	2.240536	-0.010705
1618.514038	2.243182	-0.012194
1621.989014	2.245852	-0.013806
