Opt. Const. of AlPcCl vs. nm,,
nm	n	k
726.531921	2.339198	2.070661
728.117126	2.37589	2.083232
729.702271	2.413744	2.094627
731.287415	2.452582	2.104788
732.872437	2.492208	2.11377
734.457458	2.532566	2.1217
736.042419	2.573671	2.128657
737.627319	2.615568	2.134692
739.212158	2.658334	2.139831
740.796936	2.702062	2.144077
742.381653	2.746888	2.147408
743.966309	2.792993	2.149763
745.550903	2.840655	2.150933
747.135498	2.889964	2.15047
748.719971	2.940797	2.148009
750.304443	2.992979	2.143269
751.888794	3.046303	2.136025
753.473145	3.10055	2.126096
755.057373	3.155485	2.113332
756.641602	3.210875	2.097613
758.225708	3.266457	2.078846
759.809814	3.321969	2.056987
761.39386	3.377182	2.032025
762.977783	3.431883	2.003944
764.561646	3.485854	1.972731
766.145508	3.538874	1.938371
767.729309	3.59071	1.900849
769.313049	3.641101	1.860159
770.896667	3.689751	1.8163
772.480225	3.736276	1.769302
774.063782	3.780231	1.719393
775.647217	3.821374	1.666945
777.230591	3.859582	1.612246
778.813904	3.894762	1.555537
780.397156	3.926833	1.49703
781.980347	3.955714	1.436904
783.563538	3.981316	1.375324
785.146606	4.003521	1.312441
786.729553	4.022161	1.248396
788.3125	4.036954	1.183429
789.895325	4.047731	1.117978
791.478149	4.054464	1.052453
793.060852	4.05718	0.987237
794.643433	4.055943	0.92269
796.226074	4.050847	0.859153
797.808533	4.042017	0.796978
799.390991	4.029615	0.736494
800.973328	4.013855	0.678047
802.555664	3.995052	0.621965
804.137817	3.973639	0.568413
805.720032	3.949914	0.517408
807.302124	3.924097	0.468987
808.884094	3.896382	0.42321
810.466003	3.866952	0.380148
812.047852	3.835998	0.339893
813.629639	3.803724	0.302547
815.211304	3.770363	0.268226
816.792969	3.736196	0.23706
818.374512	3.701611	0.209182
819.955933	3.66715	0.184538
821.537415	3.633206	0.162858
823.118774	3.600049	0.143872
824.700012	3.567884	0.12731
826.281128	3.53687	0.112901
827.862183	3.507125	0.100373
829.443237	3.478725	0.08945
831.024109	3.451713	0.079853
832.60498	3.426069	0.071298
834.18573	3.401717	0.063502
835.766418	3.378448	0.056223
837.347046	3.356039	0.049417
838.927612	3.334375	0.043083
840.507996	3.313381	0.037221
842.088379	3.293	0.031828
843.66864	3.273198	0.026901
845.24884	3.253944	0.022437
846.828979	3.235221	0.018431
848.408997	3.217018	0.01488
849.988953	3.199329	0.011777
851.568848	3.18216	0.009118
853.148621	3.165531	0.006889
854.728333	3.14946	0.005057
856.307922	3.133954	0.003582
857.88739	3.119012	0.002426
859.466797	3.104633	0.00155
861.046204	3.09081	0.000916
862.625488	3.077534	0.000484
864.20459	3.064795	0.000215
865.783691	3.052574	7.1e-05
867.362671	3.04085	1.2e-05
868.941589	3.029597	0.0
870.520386	3.018773	-0.0
872.099121	3.00833	0.0
873.677734	2.998233	-0.0
875.256226	2.988457	0.0
876.834778	2.978981	0.0
878.413086	2.969786	0.0
879.991394	2.960856	-0.0
881.569519	2.952177	0.0
883.147644	2.943733	-0.0
884.725586	2.935515	0.0
886.303528	2.927511	0.0
887.881348	2.91971	0.0
889.458984	2.912104	0.0
891.036621	2.904683	0.0
892.614136	2.89744	-0.0
894.191589	2.890367	0.0
895.76886	2.883457	-0.0
897.346069	2.876703	0.0
898.923218	2.8701	0.0
900.500305	2.863641	-0.0
902.077271	2.857321	-0.0
903.653992	2.851135	0.0
905.230774	2.845078	-0.0
906.807434	2.839146	0.0
908.383972	2.833333	-0.0
909.960327	2.827636	-0.0
