Opt. Const. of PFOGlassy vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
337.799988	1.311671	0.203228	1.44209	0.119088
338.100006	1.310302	0.205952	1.441718	0.120608
338.399994	1.308946	0.208794	1.44146	0.122136
338.700012	1.307594	0.211641	1.441203	0.123665
339	1.306248	0.214493	1.440948	0.125194
339.299988	1.30504	0.217549	1.440836	0.12667
339.600006	1.303838	0.22061	1.440725	0.128146
339.899994	1.302644	0.223676	1.440616	0.129622
340.200012	1.301573	0.226799	1.440557	0.131032
340.5	1.300568	0.229952	1.440525	0.132408
340.799988	1.29957	0.233109	1.440494	0.133785
341.100006	1.298611	0.23628	1.440464	0.135135
341.399994	1.297719	0.239473	1.440435	0.136433
341.700012	1.296836	0.24267	1.440407	0.137731
342	1.295961	0.245869	1.44038	0.139029
342.299988	1.295149	0.249144	1.440323	0.14029
342.600006	1.294346	0.252421	1.440267	0.141551
342.899994	1.29355	0.255701	1.440212	0.142813
343.200012	1.292812	0.259045	1.440132	0.144076
343.5	1.292106	0.262422	1.440039	0.145339
343.799988	1.291409	0.265801	1.439947	0.146603
344.100006	1.290747	0.269211	1.439845	0.147879
344.399994	1.290148	0.272683	1.43972	0.14918
344.700012	1.289558	0.276156	1.439597	0.150482
345	1.288977	0.279631	1.439475	0.151784
345.299988	1.288486	0.283196	1.439342	0.153149
345.600006	1.288004	0.286761	1.439211	0.154514
345.899994	1.287532	0.290327	1.439082	0.155879
346.200012	1.287123	0.293954	1.43896	0.15729
346.5	1.286749	0.297613	1.438844	0.158723
346.799988	1.286386	0.30127	1.43873	0.160155
347.100006	1.286058	0.304961	1.438625	0.161611
347.399994	1.285791	0.308719	1.438538	0.163113
347.700012	1.285534	0.312476	1.438453	0.164614
348	1.285289	0.316232	1.438369	0.166116
348.299988	1.285131	0.320102	1.438324	0.167687
348.600006	1.284984	0.323971	1.43828	0.169257
348.899994	1.284848	0.327837	1.438238	0.170828
349.200012	1.284782	0.331798	1.438231	0.172445
349.5	1.284757	0.335804	1.438242	0.174086
349.799988	1.284744	0.339807	1.438255	0.175726
350.100006	1.284789	0.343863	1.438291	0.177388
350.399994	1.284939	0.348026	1.438372	0.179095
350.700012	1.285101	0.352185	1.438455	0.180802
351	1.285275	0.356339	1.43854	0.182508
351.299988	1.285654	0.360612	1.438704	0.184272
351.600006	1.286046	0.364878	1.438869	0.186035
351.899994	1.286449	0.369138	1.439037	0.187797
352.200012	1.286977	0.373439	1.439263	0.189592
352.5	1.287572	0.377756	1.439518	0.191402
352.799988	1.28818	0.382065	1.439776	0.193212
353.100006	1.288842	0.386401	1.440066	0.195034
353.399994	1.289602	0.390796	1.440418	0.196882
353.700012	1.290374	0.395183	1.440772	0.198729
354	1.291157	0.399561	1.441128	0.200575
354.299988	1.292122	0.404081	1.441581	0.202452
354.600006	1.293098	0.40859	1.442035	0.204327
354.899994	1.294086	0.413089	1.442492	0.206201
355.200012	1.295247	0.417669	1.443017	0.208089
355.5	1.296498	0.422284	1.443577	0.209983
355.799988	1.297761	0.426886	1.444139	0.211876
356.100006	1.299134	0.431506	1.444737	0.213771
356.399994	1.300716	0.436174	1.445405	0.215671
356.700012	1.302308	0.440827	1.446074	0.21757
357	1.303909	0.445465	1.446745	0.219467
357.299988	1.30584	0.450061	1.447519	0.221363
357.600006	1.307778	0.454641	1.448295	0.223257
357.899994	1.309723	0.459205	1.449072	0.225149
358.200012	1.311798	0.463667	1.449917	0.227033
358.5	1.313939	0.46807	1.450795	0.228911
358.799988	1.316086	0.472456	1.451676	0.230787
359.100006	1.318244	0.476836	1.452588	0.232655
359.399994	1.32042	0.48122	1.453564	0.234508
359.700012	1.322601	0.485588	1.454542	0.236359
360	1.324787	0.48994	1.45552	0.238207
360.299988	1.327162	0.494526	1.456583	0.240029
360.600006	1.329541	0.499095	1.457647	0.241848
360.899994	1.331926	0.503645	1.458713	0.243665
361.200012	1.334637	0.508238	1.459829	0.245464
361.5	1.337513	0.512842	1.460972	0.247253
361.799988	1.340391	0.517425	1.462115	0.249039
362.100006	1.343398	0.521909	1.463284	0.250816
362.399994	1.346661	0.526213	1.464501	0.252577
362.700012	1.349921	0.530497	1.465719	0.254336
363	1.353179	0.534761	1.466938	0.256091
363.299988	1.356484	0.538804	1.468229	0.257827
363.600006	1.359784	0.542829	1.469521	0.25956
363.899994	1.363082	0.546836	1.470813	0.261289
364.200012	1.366406	0.550881	1.472153	0.263006
364.5	1.369742	0.554936	1.473518	0.264714
364.799988	1.373074	0.558972	1.474884	0.26642
365.100006	1.3765	0.563036	1.476274	0.268117
365.399994	1.380116	0.567171	1.477715	0.269803
365.700012	1.383727	0.571286	1.479156	0.271485
366	1.387333	0.575382	1.480596	0.273165
366.299988	1.391297	0.579413	1.482116	0.274827
366.600006	1.395254	0.583425	1.483635	0.276487
366.899994	1.399203	0.587418	1.485153	0.278143
367.200012	1.403314	0.59131	1.486727	0.279787
367.5	1.407501	0.595143	1.488328	0.281423
367.799988	1.411678	0.598957	1.489928	0.283056
368.100006	1.415918	0.60274	1.491557	0.284681
368.399994	1.420294	0.606477	1.493245	0.286293
368.700012	1.424657	0.610197	1.494932	0.287901
369	1.42901	0.613899	1.496618	0.289506
369.299988	1.433665	0.617577	1.498398	0.291092
369.600006	1.438307	0.621236	1.500178	0.292675
369.899994	1.442936	0.624878	1.501957	0.294254
370.200012	1.447809	0.628432	1.503806	0.295819
370.5	1.452795	0.631934	1.50569	0.297374
370.799988	1.457766	0.635419	1.507572	0.298925
371.100006	1.46284	0.638819	1.509495	0.300463
371.399994	1.468135	0.64207	1.511502	0.301977
371.700012	1.473412	0.645305	1.513507	0.303487
372	1.478671	0.648525	1.515511	0.304994
372.299988	1.484217	0.651491	1.517647	0.306438
372.600006	1.489743	0.654445	1.519782	0.307879
372.899994	1.495248	0.657385	1.521914	0.309316
373.200012	1.500919	0.660141	1.524131	0.310693
373.5	1.506661	0.6628	1.526388	0.312037
373.799988	1.512382	0.665449	1.528642	0.313377
374.100006	1.518167	0.667992	1.530933	0.314678
374.399994	1.524102	0.670336	1.533298	0.315902
374.700012	1.530014	0.672671	1.535661	0.317123
375	1.535903	0.674999	1.53802	0.31834
375.299988	1.541991	0.677003	1.540471	0.319423
375.600006	1.548057	0.679001	1.542918	0.320503
375.899994	1.554098	0.680994	1.545362	0.32158
376.200012	1.560234	0.68276	1.547843	0.322556
376.5	1.566404	0.684411	1.550341	0.323481
376.799988	1.57255	0.68606	1.552835	0.324404
377.100006	1.578715	0.687594	1.555331	0.325279
377.399994	1.584944	0.688903	1.557835	0.326062
377.700012	1.591149	0.690213	1.560336	0.326843
378	1.597331	0.691522	1.562832	0.327623
378.299988	1.603567	0.692508	1.565324	0.328294
378.600006	1.609781	0.693496	1.567812	0.328963
378.899994	1.615972	0.694487	1.570296	0.329631
379.200012	1.622173	0.695295	1.572773	0.330243
379.5	1.628368	0.696016	1.575243	0.330827
379.799988	1.634541	0.69674	1.57771	0.331409
380.100006	1.640715	0.697389	1.580172	0.331971
380.399994	1.646914	0.697884	1.582628	0.332491
380.700012	1.653092	0.698385	1.58508	0.33301
381	1.65925	0.69889	1.587528	0.333529
381.299988	1.665488	0.699137	1.58998	0.334007
381.600006	1.671706	0.699391	1.592427	0.334484
381.899994	1.677903	0.699652	1.594871	0.33496
382.200012	1.684124	0.69971	1.59733	0.335419
382.5	1.690345	0.699673	1.599794	0.335868
382.799988	1.696548	0.699644	1.602255	0.336316
383.100006	1.702722	0.699526	1.604729	0.336754
383.399994	1.70886	0.699223	1.607235	0.337171
383.700012	1.71498	0.69893	1.609736	0.337587
384	1.721081	0.698646	1.612234	0.338002
384.299988	1.727124	0.698183	1.614792	0.338375
384.600006	1.73315	0.69773	1.617345	0.338747
384.899994	1.739159	0.697287	1.619895	0.339118
385.200012	1.745173	0.69677	1.622487	0.339455
385.5	1.751182	0.696223	1.625098	0.339773
385.799988	1.757175	0.695685	1.627704	0.340092
386.100006	1.763189	0.695105	1.630331	0.340389
386.399994	1.769261	0.694429	1.633002	0.340645
386.700012	1.775317	0.693764	1.635669	0.340901
387	1.781356	0.69311	1.638331	0.341158
387.299988	1.787505	0.692258	1.641063	0.341344
387.600006	1.793637	0.691418	1.64379	0.34153
387.899994	1.799754	0.690589	1.646513	0.341717
388.200012	1.805931	0.689615	1.649279	0.341852
388.5	1.812131	0.688576	1.652063	0.341963
