Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
580.524048	1.588573	0.004316
582.112305	1.588485	0.004305
583.700562	1.588398	0.004295
585.288757	1.588311	0.004284
586.876953	1.588225	0.004274
588.465149	1.588140	0.004263
590.053345	1.588056	0.004253
591.641479	1.587972	0.004243
593.229614	1.587889	0.004232
594.817749	1.587807	0.004222
596.405823	1.587725	0.004212
597.993958	1.587644	0.004202
599.581970	1.587564	0.004192
601.170044	1.587484	0.004182
602.758057	1.587405	0.004172
604.346069	1.587327	0.004162
605.934082	1.587250	0.004152
607.522095	1.587173	0.004142
609.109985	1.587096	0.004132
610.697937	1.587020	0.004123
612.285828	1.586945	0.004113
613.873718	1.586871	0.004103
615.461609	1.586797	0.004094
617.049438	1.586723	0.004084
618.637268	1.586651	0.004075
620.225037	1.586578	0.004065
621.812866	1.586507	0.004056
623.400574	1.586436	0.004046
624.988342	1.586365	0.004037
626.576050	1.586296	0.004028
628.163696	1.586226	0.004018
629.751343	1.586157	0.004009
631.338989	1.586089	0.004000
632.926575	1.586022	0.003991
634.514099	1.585954	0.003982
636.101685	1.585888	0.003972
637.689148	1.585822	0.003963
639.276672	1.585756	0.003954
640.864136	1.585691	0.003945
642.451538	1.585626	0.003936
644.038940	1.585562	0.003928
645.626343	1.585499	0.003919
647.213623	1.585435	0.003910
648.800903	1.585373	0.003901
650.388184	1.585311	0.003892
651.975464	1.585249	0.003884
653.562622	1.585188	0.003875
655.149780	1.585127	0.003866
656.736938	1.585067	0.003858
658.324097	1.585007	0.003849
659.911133	1.584947	0.003841
661.498169	1.584888	0.003832
663.085205	1.584830	0.003824
664.672180	1.584772	0.003815
666.259094	1.584714	0.003807
667.846008	1.584657	0.003799
669.432861	1.584600	0.003790
671.019653	1.584544	0.003782
672.606445	1.584488	0.003774
674.193237	1.584432	0.003766
675.779907	1.584377	0.003757
677.366577	1.584322	0.003749
678.953247	1.584268	0.003741
680.539856	1.584214	0.003733
682.126343	1.584161	0.003725
683.712891	1.584107	0.003717
685.299377	1.584055	0.003709
686.885803	1.584002	0.003701
688.472168	1.583950	0.003693
690.058533	1.583899	0.003685
691.644836	1.583847	0.003678
693.231079	1.583796	0.003670
694.817322	1.583746	0.003662
696.403442	1.583696	0.003654
697.989624	1.583646	0.003647
699.575684	1.583596	0.003639
701.161743	1.583547	0.003631
702.747742	1.583498	0.003624
704.333679	1.583450	0.003616
705.919556	1.583402	0.003608
707.505493	1.583354	0.003601
709.091248	1.583307	0.003593
710.677002	1.583259	0.003586
712.262756	1.583213	0.003578
713.848389	1.583166	0.003571
715.434021	1.583120	0.003564
717.019592	1.583074	0.003556
718.605103	1.583029	0.003549
720.190552	1.582983	0.003542
721.776001	1.582939	0.003534
723.361389	1.582894	0.003527
724.946655	1.582850	0.003520
726.531921	1.582806	0.003513
728.117126	1.582762	0.003506
729.702271	1.582719	0.003499
731.287415	1.582675	0.003491
732.872437	1.582633	0.003484
734.457458	1.582590	0.003477
736.042419	1.582548	0.003470
737.627319	1.582506	0.003463
739.212158	1.582464	0.003456
740.796936	1.582423	0.003450
742.381653	1.582382	0.003443
743.966309	1.582341	0.003436
745.550903	1.582300	0.003429
747.135498	1.582260	0.003422
748.719971	1.582220	0.003415
