Opt. Const. of PFOGlassy0Vol% vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
351	1.285275	0.356339	1.43854	0.182508
352	1.286586	0.370557	1.439093	0.188385
353	1.288592	0.384934	1.439949	0.194418
354	1.291157	0.399561	1.441128	0.200575
355	1.294418	0.414586	1.442645	0.206826
356	1.298609	0.429947	1.444515	0.213136
357	1.303909	0.445465	1.446745	0.219467
358	1.310374	0.460723	1.449332	0.225779
359	1.31752	0.475371	1.452263	0.232036
360	1.324787	0.48994	1.45552	0.238207
361	1.332721	0.505158	1.459068	0.24427
362	1.342311	0.520469	1.462878	0.250228
363	1.353179	0.534761	1.466938	0.256091
364	1.36418	0.548168	1.471243	0.261865
365	1.375293	0.561653	1.475794	0.267555
366	1.387333	0.575382	1.480596	0.273165
367	1.400518	0.588744	1.485659	0.278695
368	1.414457	0.60149	1.490995	0.284143
369	1.42901	0.613899	1.496618	0.289506
370	1.444476	0.626088	1.502549	0.29478
371	1.46107	0.637732	1.508826	0.299957
372	1.478671	0.648525	1.515511	0.304994
373	1.497078	0.658362	1.522624	0.309795
374	1.516184	0.667209	1.530144	0.314269
375	1.535903	0.674999	1.53802	0.31834
376	1.556107	0.681658	1.546176	0.321939
377	1.576634	0.687157	1.554495	0.325017
378	1.597331	0.691522	1.562832	0.327623
379	1.618031	0.694817	1.571124	0.329854
380	1.638644	0.697225	1.579353	0.331797
381	1.65925	0.69889	1.587528	0.333529
382	1.679965	0.69974	1.595685	0.335119
383	1.700672	0.699629	1.603893	0.336615
384	1.721081	0.698646	1.612234	0.338002
385	1.741158	0.697141	1.620744	0.339242
386	1.761161	0.695333	1.62944	0.340304
387	1.781356	0.69311	1.638331	0.341158
388	1.801789	0.690316	1.647419	0.341779
389	1.822429	0.686871	1.656695	0.342148
390	1.84327	0.682751	1.666149	0.342271
391	1.86432	0.67793	1.675798	0.34216
392	1.885602	0.672384	1.685671	0.341824
393	1.907146	0.666091	1.695817	0.341267
394	1.929016	0.659046	1.706312	0.340489
395	1.951373	0.651236	1.717295	0.339469
396	1.974579	0.642472	1.728952	0.338022
397	1.998773	0.632102	1.741303	0.335865
398	2.023634	0.619524	1.754266	0.33275
399	2.048617	0.604428	1.767699	0.328455
400	2.07326	0.586713	1.781398	0.322786
401	2.097091	0.566317	1.79508	0.315576
402	2.11964	0.5433	1.808319	0.306794
403	2.140447	0.517752	1.8208	0.296657
404	2.158934	0.489924	1.832369	0.285383
405	2.174723	0.46032	1.842938	0.273163
406	2.187565	0.429408	1.852461	0.260166
