Opt. Const. of PFO158 vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
338.100006	1.340739	0.161752	1.493205	0.037004
338.399994	1.339168	0.163647	1.492271	0.03742
338.700012	1.337597	0.165547	1.491337	0.037836
339	1.336028	0.167452	1.490402	0.038252
339.299988	1.334425	0.169556	1.48954	0.038805
339.600006	1.332824	0.171664	1.488678	0.039359
339.899994	1.331224	0.173778	1.487816	0.039914
340.200012	1.329663	0.176035	1.487014	0.040532
340.5	1.328121	0.178366	1.486242	0.041182
340.799988	1.326583	0.180703	1.485469	0.041832
341.100006	1.325083	0.183096	1.484727	0.042501
341.399994	1.323655	0.185596	1.484045	0.043207
341.700012	1.322231	0.188101	1.483364	0.043913
342	1.320811	0.190611	1.482683	0.04462
342.299988	1.319499	0.193226	1.482075	0.045343
342.600006	1.318192	0.195845	1.481468	0.046067
342.899994	1.31689	0.198468	1.480861	0.046792
343.200012	1.315641	0.201148	1.480277	0.04752
343.5	1.314421	0.203858	1.479705	0.04825
343.799988	1.313207	0.206573	1.479133	0.04898
344.100006	1.312016	0.209319	1.478565	0.049718
344.399994	1.310869	0.212126	1.478007	0.05047
344.700012	1.309728	0.214936	1.477449	0.051223
345	1.308592	0.21775	1.476891	0.051976
345.299988	1.307509	0.220659	1.47634	0.052766
345.600006	1.306433	0.223571	1.475791	0.053557
345.899994	1.305363	0.226487	1.475241	0.054349
346.200012	1.304326	0.229479	1.474698	0.055176
346.5	1.303309	0.23251	1.474159	0.056021
346.799988	1.302299	0.235544	1.47362	0.056867
347.100006	1.301312	0.238626	1.473088	0.057736
347.399994	1.300364	0.241799	1.47257	0.058651
347.700012	1.299425	0.244974	1.472052	0.059566
348	1.298493	0.248153	1.471535	0.060481
348.299988	1.29764	0.251485	1.47106	0.061477
348.600006	1.296796	0.254819	1.470587	0.062473
348.899994	1.29596	0.258155	1.470113	0.06347
349.200012	1.295202	0.261597	1.469689	0.064513
349.5	1.294486	0.265091	1.469291	0.06558
349.799988	1.29378	0.268587	1.468893	0.066647
350.100006	1.293126	0.272135	1.468525	0.06773
350.399994	1.292567	0.275782	1.468216	0.068844
350.700012	1.292018	0.27943	1.467908	0.069958
351	1.29148	0.28308	1.4676	0.071073
351.299988	1.291111	0.286868	1.467385	0.072211
351.600006	1.290753	0.290657	1.46717	0.07335
351.899994	1.290405	0.294445	1.466957	0.074489
352.200012	1.290194	0.298303	1.466803	0.075629
352.5	1.290056	0.302196	1.466679	0.07677
352.799988	1.289929	0.306087	1.466556	0.077911
353.100006	1.289877	0.309999	1.466461	0.079045
353.399994	1.289963	0.313952	1.466418	0.080168
353.700012	1.29006	0.317902	1.466375	0.08129
354	1.290169	0.321849	1.466334	0.082413
354.299988	1.290459	0.325829	1.46635	0.083499
354.600006	1.29076	0.329805	1.466366	0.084586
354.899994	1.291072	0.333775	1.466384	0.085672
355.200012	1.291491	0.337768	1.46642	0.086737
355.5	1.291968	0.341768	1.466466	0.087791
355.799988	1.292457	0.345762	1.466513	0.088845
356.100006	1.293004	0.349768	1.466565	0.089893
356.399994	1.293658	0.353804	1.466626	0.09093
356.700012	1.294322	0.357832	1.466687	0.091966
357	1.294996	0.361854	1.46675	0.093003
357.299988	1.295843	0.365929	1.46682	0.094037
357.600006	1.2967	0.369996	1.466892	0.09507
357.899994	1.297567	0.374054	1.466963	0.096104
358.200012	1.298568	0.378129	1.46704	0.097145
358.5	1.299641	0.382207	1.467121	0.09819
358.799988	1.300723	0.386276	1.467201	0.099234
