Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
580.524048	2.097523	0.004588
582.112305	2.097192	0.004575
583.700562	2.096863	0.004563
585.288757	2.096538	0.004550
586.876953	2.096215	0.004537
588.465149	2.095895	0.004525
590.053345	2.095578	0.004512
591.641479	2.095264	0.004500
593.229614	2.094952	0.004488
594.817749	2.094643	0.004476
596.405823	2.094337	0.004463
597.993958	2.094033	0.004451
599.581970	2.093732	0.004439
601.170044	2.093434	0.004427
602.758057	2.093138	0.004415
604.346069	2.092844	0.004403
605.934082	2.092553	0.004392
607.522095	2.092265	0.004380
609.109985	2.091979	0.004368
610.697937	2.091695	0.004357
612.285828	2.091413	0.004345
613.873718	2.091135	0.004334
615.461609	2.090858	0.004322
617.049438	2.090583	0.004311
618.637268	2.090311	0.004300
620.225037	2.090041	0.004288
621.812866	2.089773	0.004277
623.400574	2.089508	0.004266
624.988342	2.089244	0.004255
626.576050	2.088983	0.004244
628.163696	2.088724	0.004233
629.751343	2.088467	0.004222
631.338989	2.088212	0.004211
632.926575	2.087959	0.004201
634.514099	2.087708	0.004190
636.101685	2.087459	0.004179
637.689148	2.087212	0.004169
639.276672	2.086967	0.004158
640.864136	2.086724	0.004148
642.451538	2.086482	0.004137
644.038940	2.086243	0.004127
645.626343	2.086006	0.004116
647.213623	2.085770	0.004106
648.800903	2.085536	0.004096
650.388184	2.085304	0.004086
651.975464	2.085074	0.004076
653.562622	2.084846	0.004066
655.149780	2.084620	0.004055
656.736938	2.084395	0.004046
658.324097	2.084172	0.004036
659.911133	2.083950	0.004026
661.498169	2.083730	0.004016
663.085205	2.083513	0.004006
664.672180	2.083296	0.003996
666.259094	2.083081	0.003987
667.846008	2.082868	0.003977
669.432861	2.082657	0.003967
671.019653	2.082447	0.003958
672.606445	2.082238	0.003948
674.193237	2.082032	0.003939
675.779907	2.081826	0.003930
677.366577	2.081623	0.003920
678.953247	2.081421	0.003911
680.539856	2.081220	0.003902
682.126343	2.081021	0.003892
683.712891	2.080823	0.003883
685.299377	2.080626	0.003874
686.885803	2.080432	0.003865
688.472168	2.080238	0.003856
690.058533	2.080046	0.003847
691.644836	2.079856	0.003838
693.231079	2.079666	0.003829
694.817322	2.079479	0.003820
696.403442	2.079292	0.003811
697.989624	2.079107	0.003802
699.575684	2.078923	0.003794
701.161743	2.078740	0.003785
702.747742	2.078559	0.003776
704.333679	2.078379	0.003768
705.919556	2.078200	0.003759
707.505493	2.078023	0.003750
709.091248	2.077847	0.003742
710.677002	2.077672	0.003733
712.262756	2.077498	0.003725
713.848389	2.077326	0.003717
715.434021	2.077154	0.003708
717.019592	2.076984	0.003700
718.605103	2.076816	0.003692
720.190552	2.076648	0.003683
721.776001	2.076481	0.003675
723.361389	2.076316	0.003667
724.946655	2.076152	0.003659
726.531921	2.075989	0.003651
728.117126	2.075826	0.003643
729.702271	2.075666	0.003635
731.287415	2.075506	0.003627
732.872437	2.075347	0.003619
734.457458	2.075190	0.003611
736.042419	2.075033	0.003603
737.627319	2.074878	0.003595
739.212158	2.074723	0.003587
740.796936	2.074570	0.003579
742.381653	2.074417	0.003572
743.966309	2.074266	0.003564
745.550903	2.074116	0.003556
747.135498	2.073966	0.003549
748.719971	2.073818	0.003541
750.304443	2.073671	0.003533
751.888794	2.073524	0.003526
753.473145	2.073379	0.003518
755.057373	2.073235	0.003511
756.641602	2.073091	0.003503
758.225708	2.072948	0.003496
759.809814	2.072807	0.003488
761.393860	2.072666	0.003481
762.977783	2.072526	0.003474
764.561646	2.072387	0.003467
766.145508	2.072250	0.003459
767.729309	2.072113	0.003452
769.313049	2.071976	0.003445
770.896667	2.071841	0.003438
772.480225	2.071707	0.003430
774.063782	2.071573	0.003423
775.647217	2.071440	0.003416
777.230591	2.071309	0.003409
778.813904	2.071178	0.003402
780.397156	2.071048	0.003395
781.980347	2.070918	0.003388
783.563538	2.070790	0.003381
785.146606	2.070662	0.003374
786.729553	2.070535	0.003368
788.312500	2.070409	0.003361
789.895325	2.070284	0.003354
791.478149	2.070159	0.003347
793.060852	2.070035	0.003340
794.643433	2.069912	0.003334
796.226074	2.069790	0.003327
797.808533	2.069669	0.003320
799.390991	2.069548	0.003313
800.973328	2.069428	0.003307
802.555664	2.069309	0.003300
804.137817	2.069191	0.003294
805.720032	2.069073	0.003287
807.302124	2.068956	0.003281
808.884094	2.068840	0.003274
810.466003	2.068724	0.003268
812.047852	2.068609	0.003261
813.629639	2.068495	0.003255
815.211304	2.068382	0.003248
