Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
462	1.670716	0	2.03817	0	1.656402	0.000477
463	1.669373	0	2.033997	0	1.655095	0.000481
464	1.668045	0	2.029845	0	1.653825	0.000484
465	1.666732	0	2.025705	0	1.65259	0.000488
466	1.665431	0	2.02159	0	1.651389	0.000491
467	1.664149	0	2.017508	0	1.65022	0.000495
468	1.662892	0	2.01347	0	1.649081	0.000498
469	1.661666	0	2.009485	0	1.647972	0.000501
470	1.660478	0	2.005564	0	1.646891	0.000505
471	1.659333	0	2.001716	0	1.645836	0.000508
472	1.658239	0	1.99795	0	1.644808	0.000512
473	1.6572	0	1.994276	0	1.643804	0.000515
474	1.656222	0	1.990702	0	1.642823	0.000519
475	1.655307	0	1.987237	0	1.641866	0.000522
476	1.654448	0	1.98389	0	1.64093	0.000526
477	1.653636	0	1.980666	0	1.640015	0.000529
478	1.652864	0	1.977558	0	1.63912	0.000533
479	1.652123	0	1.974555	0	1.638245	0.000536
480	1.651405	0	1.971647	0	1.637389	0.00054
481	1.650703	0	1.968825	0	1.636551	0.000544
482	1.65001	0	1.966079	0	1.63573	0.000547
483	1.649319	0	1.9634	0	1.634926	0.000551
484	1.648622	0	1.960779	0	1.634139	0.000554
485	1.647921	0	1.958206	0	1.633367	0.000558
486	1.647215	0	1.955673	0	1.632611	0.000562
487	1.646507	0	1.953171	0	1.631869	0.000565
488	1.645798	0	1.950691	0	1.631142	0.000569
489	1.645088	0	1.948225	0	1.630428	0.000572
490	1.64438	0	1.945765	0	1.629728	0.000576
491	1.643673	0	1.943311	0	1.629041	0.00058
492	1.642969	0	1.940866	0	1.628366	0.000583
493	1.64227	0	1.938435	0	1.627704	0.000587
494	1.641576	0	1.93602	0	1.627054	0.000591
495	1.640889	0	1.933626	0	1.626415	0.000595
496	1.640212	0	1.931256	0	1.625787	0.000598
497	1.639544	0	1.928914	0	1.62517	0.000602
498	1.638889	0	1.926602	0	1.624564	0.000606
499	1.638248	0	1.924325	0	1.623968	0.00061
500	1.637622	0	1.922085	0	1.623381	0.000613
501	1.637013	0	1.919886	0	1.622805	0.000617
502	1.636422	0	1.91773	0	1.622238	0.000621
503	1.635851	0	1.915622	0	1.62168	0.000625
504	1.635299	0	1.913563	0	1.621131	0.000629
505	1.634766	0	1.911553	0	1.620591	0.000632
506	1.634248	0	1.909588	0	1.62006	0.000636
507	1.633745	0	1.907666	0	1.619536	0.00064
508	1.633253	0	1.905782	0	1.619021	0.000644
509	1.632772	0	1.903933	0	1.618514	0.000648
510	1.632298	0	1.902115	0	1.618014	0.000652
511	1.631831	0	1.900326	0	1.617522	0.000656
512	1.631369	0	1.898561	0	1.617037	0.00066
513	1.630909	0	1.896818	0	1.616559	0.000664
514	1.63045	0	1.895094	0	1.616088	0.000668
515	1.629991	0	1.893385	0	1.615624	0.000671
516	1.629532	0	1.891688	0	1.615166	0.000675
517	1.629072	0	1.890001	0	1.614715	0.000679
518	1.628611	0	1.888321	0	1.614271	0.000683
519	1.628147	0	1.886644	0	1.613832	0.000687
520	1.62768	0	1.884971	0	1.6134	0.000692
521	1.62721	0	1.883305	0	1.612973	0.000696
522	1.626737	0	1.881648	0	1.612553	0.0007
523	1.626258	0	1.880003	0	1.612138	0.000704
524	1.625776	0	1.878372	0	1.611728	0.000708
525	1.625288	0	1.876758	0	1.611324	0.000712
526	1.624797	0	1.875162	0	1.610925	0.000716
527	1.624304	0	1.873589	0	1.610532	0.00072
528	1.623813	0	1.872038	0	1.610143	0.000724
529	1.623325	0	1.870514	0	1.609759	0.000728
530	1.622842	0	1.869017	0	1.609381	0.000733
531	1.622367	0	1.867551	0	1.609007	0.000737
532	1.6219	0	1.866118	0	1.608638	0.000741
533	1.621445	0	1.864718	0	1.608273	0.000745
534	1.621002	0	1.863356	0	1.607913	0.000749
535	1.620574	0	1.862031	0	1.607557	0.000754
536	1.620162	0	1.860744	0	1.607205	0.000758
537	1.619766	0	1.859494	0	1.606858	0.000762
538	1.619385	0	1.858278	0	1.606515	0.000766
539	1.619017	0	1.857096	0	1.606176	0.000771
540	1.61866	0	1.855945	0	1.605841	0.000775
541	1.618313	0	1.854824	0	1.60551	0.000779
542	1.617975	0	1.853732	0	1.605182	0.000784
543	1.617644	0	1.852667	0	1.604859	0.000788
544	1.617318	0	1.851627	0	1.604539	0.000792
545	1.616997	0	1.850613	0	1.604223	0.000797
546	1.616679	0	1.849621	0	1.60391	0.000801
547	1.616362	0	1.84865	0	1.603601	0.000805
548	1.616046	0	1.8477	0	1.603295	0.00081
549	1.61573	0	1.846769	0	1.602993	0.000814
550	1.615414	0	1.845856	0	1.602694	0.000819
551	1.615099	0	1.844959	0	1.602398	0.000823
552	1.614783	0	1.844077	0	1.602105	0.000828
553	1.614468	0	1.843209	0	1.601816	0.000832
554	1.614154	0	1.842353	0	1.60153	0.000837
555	1.613839	0	1.841509	0	1.601246	0.000841
556	1.613526	0	1.840674	0	1.600966	0.000846
557	1.613212	0	1.839847	0	1.600689	0.00085
558	1.612899	0	1.839028	0	1.600414	0.000855
559	1.612587	0	1.838213	0	1.600142	0.000859
560	1.612275	0	1.837404	0	1.599873	0.000864
561	1.611964	0	1.836597	0	1.599607	0.000869
562	1.611654	0	1.835793	0	1.599344	0.000873
563	1.611347	0	1.834989	0	1.599083	0.000878
564	1.611041	0	1.834185	0	1.598825	0.000882
565	1.610739	0	1.833379	0	1.598569	0.000887
566	1.610441	0	1.832571	0	1.598316	0.000892
567	1.610146	0	1.831759	0	1.598065	0.000896
568	1.609856	0	1.830942	0	1.597817	0.000901
569	1.609571	0	1.830119	0	1.597571	0.000906
570	1.609292	0	1.82929	0	1.597328	0.000911
571	1.609018	0	1.828454	0	1.597087	0.000915
572	1.608752	0	1.827613	0	1.596848	0.00092
573	1.608492	0	1.826768	0	1.596611	0.000925
574	1.608238	0	1.825921	0	1.596377	0.00093
575	1.607991	0	1.825072	0	1.596145	0.000935
576	1.607748	0	1.824222	0	1.595915	0.000939
577	1.607509	0	1.823373	0	1.595687	0.000944
578	1.607272	0	1.822526	0	1.595461	0.000949
579	1.607038	0	1.821681	0	1.595238	0.000954
580	1.606804	0	1.82084	0	1.595016	0.000959
581	1.60657	0	1.820004	0	1.594796	0.000964
582	1.606334	0	1.819173	0	1.594579	0.000969
583	1.606097	0	1.818349	0	1.594363	0.000973
584	1.605858	0	1.817533	0	1.594149	0.000978
585	1.605614	0	1.816725	0	1.593937	0.000983
586	1.605366	0	1.815926	0	1.593727	0.000988
587	1.605113	0	1.815137	0	1.593519	0.000993
588	1.604856	0	1.81436	0	1.593312	0.000998
589	1.604595	0	1.813594	0	1.593108	0.001003
590	1.604332	0	1.812841	0	1.592905	0.001008
591	1.604068	0	1.8121	0	1.592704	0.001013
592	1.603804	0	1.811369	0	1.592504	0.001018
593	1.60354	0	1.81065	0	1.592306	0.001024
594	1.603278	0	1.809942	0	1.59211	0.001029
595	1.603019	0	1.809245	0	1.591916	0.001034
596	1.602764	0	1.808557	0	1.591723	0.001039
597	1.602513	0	1.807879	0	1.591532	0.001044
598	1.602267	0	1.807211	0	1.591342	0.001049
599	1.602028	0	1.806552	0	1.591154	0.001054
600	1.601796	0	1.805903	0	1.590967	0.001059
601	1.601572	0	1.805261	0	1.590782	0.001065
602	1.601357	0	1.804629	0	1.590598	0.00107
603	1.601148	0	1.804004	0	1.590416	0.001075
604	1.600946	0	1.803388	0	1.590236	0.00108
605	1.600749	0	1.802778	0	1.590056	0.001086
606	1.600557	0	1.802177	0	1.589879	0.001091
607	1.60037	0	1.801582	0	1.589702	0.001096
608	1.600187	0	1.800994	0	1.589527	0.001101
609	1.600006	0	1.800413	0	1.589353	0.001107
610	1.599828	0	1.799838	0	1.589181	0.001112
611	1.599651	0	1.799269	0	1.58901	0.001117
612	1.599476	0	1.798706	0	1.58884	0.001123
613	1.5993	0	1.798148	0	1.588672	0.001128
614	1.599125	0	1.797596	0	1.588505	0.001134
615	1.598949	0	1.797049	0	1.588339	0.001139
616	1.598771	0	1.796507	0	1.588174	0.001144
617	1.598593	0	1.795969	0	1.588011	0.00115
618	1.598412	0	1.795436	0	1.587848	0.001155
619	1.598231	0	1.794907	0	1.587687	0.001161
620	1.598049	0	1.794382	0	1.587528	0.001166
621	1.597866	0	1.793861	0	1.587369	0.001172
622	1.597682	0	1.793343	0	1.587211	0.001177
623	1.597498	0	1.792829	0	1.587055	0.001183
624	1.597313	0	1.792318	0	1.5869	0.001188
625	1.597128	0	1.79181	0	1.586746	0.001194
626	1.596943	0	1.791305	0	1.586593	0.0012
627	1.596758	0	1.790802	0	1.586441	0.001205
628	1.596572	0	1.790301	0	1.58629	0.001211
629	1.596388	0	1.789803	0	1.58614	0.001216
630	1.596203	0	1.789307	0	1.585992	0.001222
631	1.596019	0	1.788813	0	1.585844	0.001228
