Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
582.112305	1.817607	0.013631
583.700562	1.816666	0.013704
585.288757	1.815728	0.013777
586.876953	1.814792	0.013850
588.465149	1.813858	0.013925
590.053345	1.812927	0.014000
591.641479	1.811998	0.014075
593.229614	1.811070	0.014152
594.817749	1.810145	0.014229
596.405823	1.809222	0.014307
597.993958	1.808300	0.014385
599.581970	1.807380	0.014464
601.170044	1.806463	0.014544
602.758057	1.805547	0.014624
604.346069	1.804632	0.014705
605.934082	1.803720	0.014787
607.522095	1.802808	0.014869
609.109985	1.801899	0.014953
610.697937	1.800991	0.015036
612.285828	1.800084	0.015121
613.873718	1.799179	0.015206
615.461609	1.798275	0.015292
617.049438	1.797373	0.015378
618.637268	1.796472	0.015465
620.225037	1.795572	0.015553
621.812866	1.794673	0.015641
623.400574	1.793775	0.015731
624.988342	1.792879	0.015820
626.576050	1.791984	0.015911
628.163696	1.791089	0.016002
629.751343	1.790196	0.016094
631.338989	1.789304	0.016187
632.926575	1.788412	0.016280
634.514099	1.787522	0.016374
636.101685	1.786633	0.016468
637.689148	1.785744	0.016564
639.276672	1.784856	0.016660
640.864136	1.783969	0.016756
642.451538	1.783082	0.016854
644.038940	1.782197	0.016952
645.626343	1.781312	0.017050
647.213623	1.780427	0.017150
648.800903	1.779543	0.017250
650.388184	1.778660	0.017351
651.975464	1.777778	0.017452
653.562622	1.776895	0.017554
655.149780	1.776014	0.017657
656.736938	1.775133	0.017761
658.324097	1.774252	0.017865
659.911133	1.773372	0.017970
661.498169	1.772492	0.018076
663.085205	1.771612	0.018182
664.672180	1.770733	0.018289
666.259094	1.769854	0.018397
667.846008	1.768975	0.018505
669.432861	1.768097	0.018615
671.019653	1.767219	0.018724
672.606445	1.766341	0.018835
674.193237	1.765463	0.018946
675.779907	1.764585	0.019058
677.366577	1.763708	0.019171
678.953247	1.762831	0.019285
680.539856	1.761953	0.019399
682.126343	1.761076	0.019514
683.712891	1.760199	0.019629
685.299377	1.759322	0.019746
686.885803	1.758445	0.019863
688.472168	1.757568	0.019981
690.058533	1.756690	0.020099
691.644836	1.755813	0.020218
693.231079	1.754936	0.020338
694.817322	1.754058	0.020459
696.403442	1.753181	0.020581
697.989624	1.752303	0.020703
699.575684	1.751425	0.020826
701.161743	1.750547	0.020949
702.747742	1.749669	0.021074
704.333679	1.748791	0.021199
705.919556	1.747912	0.021325
707.505493	1.747033	0.021452
709.091248	1.746154	0.021579
710.677002	1.745275	0.021707
712.262756	1.744395	0.021836
713.848389	1.743515	0.021966
715.434021	1.742634	0.022096
717.019592	1.741754	0.022227
718.605103	1.740872	0.022359
720.190552	1.739991	0.022492
721.776001	1.739109	0.022625
723.361389	1.738227	0.022760
724.946655	1.737344	0.022895
726.531921	1.736461	0.023030
728.117126	1.735577	0.023167
729.702271	1.734693	0.023304
731.287415	1.733808	0.023442
732.872437	1.732923	0.023581
734.457458	1.732038	0.023721
736.042419	1.731151	0.023861
737.627319	1.730265	0.024003
739.212158	1.729377	0.024145
740.796936	1.728489	0.024287
742.381653	1.727601	0.024431
743.966309	1.726712	0.024575
745.550903	1.725822	0.024720
747.135498	1.724932	0.024866
748.719971	1.724041	0.025013
750.304443	1.723149	0.025161
751.888794	1.722257	0.025309
753.473145	1.721364	0.025458
755.057373	1.720471	0.025608
756.641602	1.719576	0.025759
758.225708	1.718681	0.025911
759.809814	1.717785	0.026063
761.393860	1.716889	0.026216
762.977783	1.715991	0.026370
764.561646	1.715093	0.026525
766.145508	1.714195	0.026681
767.729309	1.713295	0.026838
769.313049	1.712395	0.026995
770.896667	1.711493	0.027153
772.480225	1.710591	0.027312
774.063782	1.709689	0.027472
775.647217	1.708785	0.027633
777.230591	1.707880	0.027794
778.813904	1.706975	0.027957
780.397156	1.706069	0.028120
781.980347	1.705161	0.028284
783.563538	1.704253	0.028449
785.146606	1.703344	0.028615
786.729553	1.702434	0.028781
788.312500	1.701524	0.028949
789.895325	1.700612	0.029117
791.478149	1.699699	0.029286
793.060852	1.698786	0.029457
794.643433	1.697871	0.029628
796.226074	1.696955	0.029799
797.808533	1.696039	0.029972
799.390991	1.695121	0.030146
800.973328	1.694203	0.030320
802.555664	1.693283	0.030496
804.137817	1.692363	0.030672
805.720032	1.691441	0.030849
807.302124	1.690518	0.031027
808.884094	1.689595	0.031206
810.466003	1.688670	0.031386
812.047852	1.687744	0.031566
813.629639	1.686817	0.031748
815.211304	1.685889	0.031930
816.792969	1.684960	0.032114
818.374512	1.684030	0.032298
819.955933	1.683099	0.032483
821.537415	1.682167	0.032670
823.118774	1.681233	0.032857
824.700012	1.680299	0.033045
826.281128	1.679363	0.033234
827.862183	1.678426	0.033424
