Opt. Const. of Al vs. nm,,
nm,n,k
475,0.689664,5.776781
476,0.692476,5.789013
477,0.695325,5.801234
478,0.698574,5.81356
479,0.701812,5.825859
480,0.705039,5.838133
481,0.708256,5.850382
482,0.711462,5.862606
483,0.714658,5.874805
484,0.717844,5.886979
485,0.72102,5.899129
486,0.724185,5.911254
487,0.727341,5.923354
488,0.730487,5.935431
489,0.733623,5.947483
490,0.736749,5.959512
491,0.739866,5.971516
492,0.742973,5.983498
493,0.74607,5.995455
494,0.749158,6.007389
495,0.752237,6.0193
496,0.755344,6.031224
497,0.758774,6.043454
498,0.762193,6.05566
499,0.765602,6.067842
500,0.769,6.08
501,0.772303,6.091529
502,0.775597,6.103037
503,0.778881,6.114524
504,0.782155,6.12599
505,0.78542,6.137435
506,0.788675,6.148859
507,0.792219,6.161248
508,0.795785,6.173722
509,0.79934,6.186172
510,0.802884,6.198596
511,0.806416,6.210998
512,0.809938,6.223374
513,0.813449,6.235727
514,0.816949,6.248056
515,0.820439,6.260361
516,0.823918,6.272643
517,0.827516,6.285144
518,0.831297,6.297987
519,0.835066,6.310804
520,0.838824,6.323596
521,0.842569,6.336362
522,0.846303,6.349103
523,0.850025,6.36182
524,0.853736,6.374512
525,0.857435,6.387179
526,0.861123,6.399822
527,0.864799,6.41244
528,0.86859,6.424564
529,0.872557,6.43596
530,0.876513,6.447338
531,0.880457,6.458695
532,0.884391,6.470035
533,0.888313,6.481354
534,0.892224,6.492655
535,0.896124,6.503938
536,0.900013,6.515201
537,0.903891,6.526446
538,0.907758,6.537673
539,0.911615,6.548881
540,0.915857,6.561669
541,0.92013,6.574611
542,0.92439,6.587528
543,0.928637,6.600421
544,0.93287,6.61329
545,0.93709,6.626134
546,0.941298,6.638955
547,0.945492,6.651752
548,0.949674,6.664525
549,0.953843,6.677274
550,0.958,6.69
551,0.963,6.7
552,0.9676,6.71202
553,0.972187,6.72402
554,0.97676,6.736001
555,0.98132,6.747961
556,0.985867,6.759901
557,0.9904,6.771821
558,0.994921,6.78372
559,0.999429,6.795601
560,1.003924,6.807462
561,1.008406,6.819303
562,1.012875,6.831125
563,1.017332,6.842927
564,1.021864,6.854625
565,1.026515,6.866177
566,1.031154,6.87771
567,1.035779,6.889226
568,1.040392,6.900723
569,1.044992,6.912202
570,1.04958,6.923664
571,1.054155,6.935107
572,1.058718,6.946533
573,1.063269,6.957942
574,1.067807,6.969332
575,1.072333,6.980705
576,1.076847,6.992061
577,1.08156,7.003316
578,1.086752,7.014358
579,1.091929,7.025385
580,1.097093,7.036396
581,1.102243,7.047392
582,1.107379,7.058372
583,1.112502,7.069336
584,1.117612,7.080286
585,1.122708,7.09122
586,1.127791,7.102139
587,1.132861,7.113042
588,1.137917,7.12393
589,1.142961,7.134803
590,1.147991,7.145661
591,1.153163,7.15692
592,1.158422,7.168441
593,1.163668,7.179945
594,1.1689,7.191431
595,1.174118,7.202901
596,1.179321,7.214354
597,1.184512,7.225791
598,1.189688,7.23721
599,1.194851,7.248613
600,1.2,7.26
601,1.204185,7.270444
602,1.20836,7.280873
603,1.212526,7.291288
604,1.216682,7.301689
605,1.22108,7.312275
606,1.226472,7.323641
607,1.231849,7.334991
608,1.237212,7.346326
609,1.242562,7.357644
610,1.247898,7.368947
611,1.25322,7.380234
612,1.258529,7.391505
613,1.263824,7.40276
614,1.269106,7.414
615,1.274374,7.425224
616,1.27963,7.436433
617,1.284872,7.447626
618,1.290101,7.458804
619,1.295317,7.469967
620,1.300577,7.48108
621,1.306339,7.49187
622,1.312087,7.502647
623,1.31782,7.51341
624,1.32354,7.524159
625,1.329245,7.534896
626,1.334937,7.545619
627,1.340615,7.556328
628,1.34628,7.567024
629,1.35193,7.577707
630,1.357567,7.588377
631,1.363191,7.599033
632,1.368801,7.609676
633,1.374398,7.620306
634,1.379982,7.630923
635,1.385553,7.641527
636,1.391144,7.651987
637,1.396858,7.661916
638,1.402559,7.671833
639,1.408248,7.68174
640,1.413924,7.691636
641,1.419587,7.70152
642,1.425237,7.711394
643,1.430876,7.721258
644,1.436502,7.73111
645,1.442115,7.740952
646,1.447716,7.750783
647,1.453305,7.760603
648,1.458882,7.770413
649,1.464447,7.780212
650,1.47,7.79
651,1.477709,7.801549
652,1.485397,7.813085
653,1.492551,7.824362
654,1.498918,7.835258
655,1.505269,7.846141
656,1.511606,7.857011
657,1.517927,7.867868
658,1.524233,7.878713
659,1.530525,7.889545
660,1.536802,7.900364
661,1.543064,7.91117
662,1.549311,7.921964
663,1.555544,7.932745
664,1.561763,7.943514
665,1.567967,7.95427
666,1.574157,7.965014
667,1.580333,7.975744
668,1.586494,7.986463
669,1.592642,7.997169
670,1.598775,8.007863
671,1.60615,8.018681
672,1.61382,8.029521
673,1.621472,8.04035
674,1.629105,8.051168
675,1.636721,8.061975
676,1.644318,8.072771
677,1.651897,8.083557
678,1.659458,8.094331
679,1.667001,8.105095
680,1.674526,8.115847
681,1.682034,8.126589
682,1.689525,8.13732
683,1.696997,8.148039
684,1.704453,8.158748
685,1.711891,8.169446
686,1.719312,8.180133
687,1.726716,8.190809
688,1.734103,8.201475
689,1.741625,8.211791
690,1.749741,8.220746
691,1.75784,8.229695
692,1.765923,8.23864
693,1.773989,8.247579
694,1.782039,8.256512
695,1.790073,8.26544
696,1.79809,8.274363
697,1.806092,8.28328
698,1.814077,8.292192
699,1.822047,8.301099
700,1.83,8.31
701,1.839488,8.319429
702,1.848955,8.328854
703,1.858402,8.338273
704,1.867829,8.347688
705,1.877235,8.357099
706,1.886622,8.366505
707,1.895988,8.375907
708,1.905334,8.385303
709,1.915645,8.394325
710,1.926918,8.402975
711,1.938167,8.411626
712,1.949392,8.420278
713,1.960595,8.42893
714,1.971775,8.437584
715,1.982931,8.446238
716,1.994065,8.454891
717,2.005175,8.463546
718,2.016263,8.4722
719,2.027328,8.480855
720,2.038371,8.489511
721,2.049391,8.498166
722,2.060389,8.506821
723,2.071364,8.515476
724,2.082317,8.524132
725,2.093248,8.532786
726,2.104157,8.541441
727,2.115044,8.550096
728,2.125908,8.55875
729,2.136751,8.567404
730,2.148868,8.571586
731,2.161528,8.573864
732,2.174177,8.576158
733,2.186816,8.578467
734,2.199443,8.580791
735,2.21206,8.583132
736,2.224667,8.585486
737,2.237262,8.587856
738,2.249847,8.59024
739,2.26242,8.59264
740,2.274983,8.595055
741,2.287535,8.597484
742,2.300075,8.599928
743,2.312605,8.602386
744,2.325124,8.604859
745,2.337631,8.607347
746,2.350127,8.609849
747,2.362612,8.612366
748,2.375086,8.614896
749,2.387549,8.617441
750,2.4,8.62
751,2.407143,8.619999
752,2.415623,8.619422
753,2.424995,8.618466
754,2.434366,8.61752
755,2.443736,8.616585
756,2.453105,8.615659
757,2.462474,8.614742
758,2.471841,8.613836
759,2.481208,8.612939
760,2.490574,8.612053
761,2.499939,8.611176
762,2.509303,8.610309
763,2.518666,8.609451
764,2.528028,8.608604
765,2.537389,8.607766
766,2.546749,8.606938
767,2.556108,8.606121
768,2.565465,8.605312
769,2.574822,8.604514
770,2.584177,8.603725
771,2.593531,8.602946
772,2.602884,8.602177
773,2.612236,8.601417
774,2.621586,8.600667
775,2.63067,8.599396
776,2.63737,8.593351
777,2.644079,8.58731
778,2.650797,8.581272
779,2.657523,8.575238
780,2.664257,8.569208
781,2.670999,8.563181
782,2.67775,8.557158
783,2.684509,8.551139
784,2.691277,8.545123
785,2.698052,8.539111
786,2.704836,8.533104
787,2.711629,8.5271
788,2.71843,8.521099
789,2.725239,8.515102
790,2.732056,8.509109
791,2.738882,8.503121
792,2.745717,8.497136
793,2.752559,8.491156
794,2.75941,8.485179
795,2.766269,8.479206
796,2.773137,8.473238
797,2.780013,8.467274
798,2.786897,8.461313
799,2.79379,8.455357
800,2.799803,8.449447
801,2.797827,8.443913
802,2.795851,8.438375
803,2.793873,8.432835
804,2.791894,8.42729
805,2.789913,8.421742
806,2.787931,8.41619
807,2.785947,8.410635
808,2.783962,8.405075
809,2.781976,8.399512
810,2.779988,8.393946
811,2.777999,8.388375
812,2.776008,8.382802
813,2.774016,8.377224
814,2.772023,8.371643
815,2.770028,8.366057
816,2.768032,8.360469
817,2.766034,8.354877
818,2.764035,8.34928
819,2.762034,8.343679
820,2.760032,8.338076
821,2.758029,8.332469
822,2.756024,8.326858
823,2.754017,8.321242
824,2.752009,8.315623
825,2.75,8.31
826,2.74375,8.309999
827,2.737802,8.308461
828,2.732303,8.304612
829,2.726798,8.300764
830,2.721289,8.296916
831,2.715774,8.293068
832,2.710254,8.28922
833,2.704729,8.285373
834,2.699199,8.281525
835,2.693663,8.277678
836,2.688123,8.27383
837,2.682577,8.269984
838,2.677026,8.266137
839,2.671469,8.262291
840,2.665908,8.258445
841,2.660341,8.2546
842,2.654768,8.250754
843,2.649191,8.246909
844,2.643608,8.243064
845,2.63802,8.239219
846,2.632427,8.235374
847,2.626828,8.23153
848,2.621224,8.227687
849,2.615615,8.223844
850,2.61,8.22
851,2.604125,8.218034
852,2.598247,8.21607
853,2.592364,8.214109
854,2.586478,8.212152
855,2.580589,8.210196
856,2.571013,8.208558
857,2.56102,8.206966
858,2.551021,8.205383
859,2.541015,8.203811
860,2.531002,8.202248
861,2.520983,8.200694
862,2.510956,8.199151
863,2.500923,8.197618
864,2.490882,8.196094
865,2.480835,8.19458
866,2.470782,8.193076
867,2.460721,8.191583
868,2.450655,8.1901
869,2.440581,8.188626
870,2.430501,8.187162
871,2.420413,8.18571
872,2.41032,8.184267
873,2.40022,8.182835
874,2.390113,8.181412
875,2.38,8.18
876,2.366778,8.182729
877,2.353559,8.185478
878,2.340342,8.188249
879,2.327129,8.191041
880,2.313918,8.193854
881,2.300711,8.196689
882,2.287507,8.199544
883,2.274306,8.202421
884,2.261109,8.205319
885,2.247915,8.208239
886,2.234961,8.212449
887,2.222372,8.218585
888,2.209796,8.22474
889,2.197235,8.230913
890,2.184688,8.237104
891,2.172154,8.243314
892,2.159635,8.249541
893,2.14713,8.255786
894,2.13464,8.26205
895,2.122164,8.268331
896,2.109702,8.27463
897,2.097254,8.280946
898,2.084821,8.28728
899,2.072403,8.293632
900,2.06,8.3
901,2.048982,8.307508
902,2.037981,8.31503
903,2.026996,8.322562
904,2.016029,8.330107
905,2.005079,8.337664
906,1.994146,8.345231
907,1.98323,8.352811
908,1.972331,8.360401
909,1.961449,8.368004
910,1.950584,8.375617
911,1.939737,8.383241
912,1.928907,8.390877
913,1.918093,8.398523
914,1.907297,8.40618
915,1.896519,8.413849
916,1.885757,8.421527
917,1.875013,8.429216
918,1.864286,8.436916
919,1.851782,8.44451
920,1.838101,8.452043
921,1.82444,8.459595
922,1.8108,8.467167
923,1.79718,8.474758
924,1.78358,8.482369
925,1.77,8.49
926,1.758294,8.505662
927,1.746632,8.521319
928,1.735014,8.536974
929,1.723439,8.552624
930,1.711907,8.56827
931,1.700418,8.583911
932,1.688972,8.599547
933,1.677568,8.615179
934,1.666206,8.630805
935,1.654887,8.646426
936,1.64361,8.662043
937,1.632374,8.677652
938,1.621179,8.693256
939,1.610026,8.708856
940,1.598914,8.724447
941,1.587842,8.740033
942,1.576812,8.755613
943,1.565821,8.771186
944,1.554871,8.786753
945,1.54396,8.802312
946,1.53309,8.817864
947,1.522259,8.833409
948,1.511467,8.848947
949,1.500714,8.864477
950,1.49,8.88
951,1.484556,8.898962
952,1.479141,8.917892
953,1.473754,8.93679
954,1.469149,8.954352
955,1.466322,8.968847
956,1.463507,8.983322
957,1.460704,8.997777
958,1.457914,9.012212
959,1.455136,9.026626
960,1.45237,9.041019
961,1.449616,9.055393
962,1.446874,9.069747
963,1.444144,9.084081
964,1.441425,9.098394
965,1.438718,9.112688
966,1.436023,9.126963
967,1.433339,9.141217
968,1.430667,9.155452
969,1.428006,9.169667
970,1.425356,9.183863
971,1.422718,9.198039
972,1.42009,9.212196
973,1.417474,9.226335
974,1.414868,9.240453
975,1.412274,9.254553
976,1.40969,9.268633
977,1.407117,9.282694
978,1.404554,9.296737
979,1.402003,9.31076
980,1.399461,9.324765
981,1.39693,9.338751
982,1.39441,9.352718
983,1.391899,9.366667
984,1.389399,9.380597
985,1.386909,9.394508
986,1.38443,9.408401
987,1.38196,9.422276
988,1.3795,9.436133
989,1.37705,9.449971
990,1.37461,9.463792
991,1.372179,9.477593
992,1.36975,9.491116
993,1.367255,9.502266
994,1.364768,9.513404
995,1.362289,9.524531
996,1.359816,9.535647
997,1.357351,9.546753
998,1.354894,9.557846
999,1.352443,9.568929
1000,1.35,9.58
